song_title,lyrics,clean_lyrics,word_count
Zayn Back To Life,"[Intro]
Oh, oh
Oh, oh
[Verse 1]
What if I changed my mind?
What if I said it's over?
I been flying so long
Can't remember what it was like to be sober
What if I lost my lives?
What if I said game over?
What if I forget my lines
And I lose all my composure?
[Pre-Chorus]
Honestly she's the only one that's watching over me
Gives me oxygen when it gets hard to breathe
And if I'm wrong or right
She's always on my side
And if I lose the fight
[Chorus]
I know she'll bring me back
Bring me back, bring me back to life
Bring me back
Bring me back, bring me back to life[Verse 2]
What if we never met?
What if I never saw her?
'Cause I've been burning up for so long
In a world that just keeps getting colder
[Pre-Chorus]
Honestly she's the only one that's watching over me
Gives me oxygen when it gets hard to breathe
And if I'm wrong or right
She's always on my side
And if I lose the fight
[Chorus]
I know she'll bring me back
Bring me back, bring me back to life
Bring me back
Bring me back, bring me back to life
[Bridge]
Nobody does this like you
I've been around the world
I seen a lot of girls
I been a lot of places
I seen a lot of faces
Nobody does this like you[Pre-Chorus]
Honestly she's the only one that's watching over me
Gives me oxygen when it gets hard to breathe
And if I'm wrong or right
She's always on my side
And if I lose the fight
I know she'll bring me back to life","Oh, oh Oh, oh What if I changed my mind? What if I said its over? I been flying so long Cant remember what it was like to be sober What if I lost my lives? What if I said game over? What if I forget my lines And I lose all my composure? Honestly shes the only one thats watching over me Gives me oxygen when it gets hard to breathe And if Im wrong or right Shes always on my side And if I lose the fight I know shell bring me back Bring me back, bring me back to life Bring me back Bring me back, bring me back to life What if we never met? What if I never saw her? Cause Ive been burning up for so long In a world that just keeps getting colder Honestly shes the only one thats watching over me Gives me oxygen when it gets hard to breathe And if Im wrong or right Shes always on my side And if I lose the fight I know shell bring me back Bring me back, bring me back to life Bring me back Bring me back, bring me back to life Nobody does this like you Ive been around the world I seen a lot of girls I been a lot of places I seen a lot of faces Nobody does this like you Honestly shes the only one thats watching over me Gives me oxygen when it gets hard to breathe And if Im wrong or right Shes always on my side And if I lose the fight I know shell bring me back to life",277
Zayn Befour,"[Intro]
I've done this before
Not like this
[Verse 1]
I don't drink to get drunk
I feel all the right funk
If there's somethin' I want
I'll take all the right wrongs now
I'm gonna stay in my zone
I'm tired of pickin' that bone
And I can't be bothered
To fight it no more, no
[Pre-Chorus]
Numb on a roof, set it on fire
Just to give me proof, I'm livin' on a wire
Numb on a roof, set it on fire
Just to give me proof, I'm livin' on a wire
[Chorus]
So say what you wanna say, what you wanna
So say what you wanna say, what you gotta say now
So say what you wanna say, what you want
Shame is you won't say that to my face[Post-Chorus]
I've done this before
Not like this, not like this
[Verse 2]
Time for me to move up
So many hours have gone
Heart beats the pump of my blood
No strings for you to pull on
You've got your tongue in your cheek
So pardon if I don't speak
Can't tune my chords
Into your song, no
[Pre-Chorus]
Numb on a roof, set it on fire
Just to give me proof, I'm livin' on a wire
[Chorus]
So say what you wanna say, what you wanna
So say what you wanna say, what you gotta say now (So say what you wanna say)
So say what you wanna say, what you want
Shame is you won't say that to my face
[Post-Chorus]
I've done this before
Not like this, not like this[Bridge]
Flashing lights
[Chorus]
So say what you wanna say, what you wanna
So say what you wanna say, what you gotta say now
So say what you wanna say, what you want (Yeah)
Shame is you won't say that to my face
So say what you wanna say, what you wanna (So say what you wanna say)
So say what you wanna say, what you gotta say now (Now)
So say what you wanna say, what you want (No, no)
Shame is you won't say that to my face
[Post-Chorus]
I've done this before (Never done it like this, baby)
Not like this (Not like this), not like this (Not like this, baby)
I've done this before (Never done it like this, baby)
Not like this (Not like this), not like this (Not like this, this, no)","Ive done this before Not like this I dont drink to get drunk I feel all the right funk If theres somethin I want Ill take all the right wrongs now Im gonna stay in my zone Im tired of pickin that bone And I cant be bothered To fight it no more, no Numb on a roof, set it on fire Just to give me proof, Im livin on a wire Numb on a roof, set it on fire Just to give me proof, Im livin on a wire So say what you wanna say, what you wanna So say what you wanna say, what you gotta say now So say what you wanna say, what you want Shame is you wont say that to my face Ive done this before Not like this, not like this Time for me to move up So many hours have gone Heart beats the pump of my blood No strings for you to pull on Youve got your tongue in your cheek So pardon if I dont speak Cant tune my chords Into your song, no Numb on a roof, set it on fire Just to give me proof, Im livin on a wire So say what you wanna say, what you wanna So say what you wanna say, what you gotta say now So say what you wanna say So say what you wanna say, what you want Shame is you wont say that to my face Ive done this before Not like this, not like this Flashing lights So say what you wanna say, what you wanna So say what you wanna say, what you gotta say now So say what you wanna say, what you want Yeah Shame is you wont say that to my face So say what you wanna say, what you wanna So say what you wanna say So say what you wanna say, what you gotta say now Now So say what you wanna say, what you want No, no Shame is you wont say that to my face Ive done this before Never done it like this, baby Not like this Not like this, not like this Not like this, baby Ive done this before Never done it like this, baby Not like this Not like this, not like this Not like this, this, no",391
Zayn Better,"[Verse 1]
Hope I only leave good vibes on your living room floor
It hurts so bad that I didn't when you asked for more
Your dad probably loves me more than he ever did now
'Cause I finally got out
Yeah, we finally knocked down
[Pre-Chorus]
'Cause sometimes it's better that way
Gotta let it go so your heart don't break
'Cause I love you
Yeah, baby, I love you
Just this one time, hear what I'm tryna say
Know you might not feel quite the same way
But I love you
I tell you, I love you
[Chorus]
Why? Why wait to fight?
Give it a try
Oh, I say goodbye while it's right
Can we save tears in your eyes?
I'm making you cry
Why wait to hate? Can we save love?
[Verse 2]
I fell in, I'm falling, I'm for you
I can't let you fall through the floor too
It's a gamble to take any more of you
(It's a gamble to take-take more you)
Still in my mind sometimes, I must admit it
Like it's a crime, on trial, I got acquitted
Me and you wasn't meant, we wasn't fitted
Like it's a glove, I hated to admit it[Pre-Chorus]
'Cause obviously, we go back
So why would we ruin that?
In too deep, we're rearranged
Now you wanna ask for names
We can't let this fruit go bad
Sayin' things we can't take back
In too deep, we're rearranged
Say you feel the same
[Chorus]
Why? Why wait to fight?
Give it a try
Oh, I say goodbye while it's right
Can we save tears in your eyes?
And watching you cry
Why wait to hate, can we save love?","Hope I only leave good vibes on your living room floor It hurts so bad that I didnt when you asked for more Your dad probably loves me more than he ever did now Cause I finally got out Yeah, we finally knocked down Cause sometimes its better that way Gotta let it go so your heart dont break Cause I love you Yeah, baby, I love you Just this one time, hear what Im tryna say Know you might not feel quite the same way But I love you I tell you, I love you Why? Why wait to fight? Give it a try Oh, I say goodbye while its right Can we save tears in your eyes? Im making you cry Why wait to hate? Can we save love? I fell in, Im falling, Im for you I cant let you fall through the floor too Its a gamble to take any more of you Its a gamble to taketake more you Still in my mind sometimes, I must admit it Like its a crime, on trial, I got acquitted Me and you wasnt meant, we wasnt fitted Like its a glove, I hated to admit it Cause obviously, we go back So why would we ruin that? In too deep, were rearranged Now you wanna ask for names We cant let this fruit go bad Sayin things we cant take back In too deep, were rearranged Say you feel the same Why? Why wait to fight? Give it a try Oh, I say goodbye while its right Can we save tears in your eyes? And watching you cry Why wait to hate, can we save love?",279
Zayn Blue,"[Verse 1]
In the clouds, where the angels sing
In her eyes, where I wanna be
And her smile is all I see
She knows I need her loving
She knows I need her touching
She plays with my heart and emotion
I give her my love and devotion
She gives thoughts and a notion
I need her body, it needs me too
I need somebody to love me blue
[Bridge]
I've been doing it wrong for too long
I said I've been at it wrong for too long
I've been doing it wrong for too long
[Verse 2]
In the clouds, where the angels sing
It's her smile, yeah, it's all I see
In her eyes, where I wanna be
She knows I need her loving
She knows I need her touching
She plays with my heart and emotion
I give her my love and devotion
She gave me her thought and a notion
I need her body, she needs me too
 (Too)[Outro]
I need somebody to love
Love me blue
Love me blue
Love me blue
Love me blue","In the clouds, where the angels sing In her eyes, where I wanna be And her smile is all I see She knows I need her loving She knows I need her touching She plays with my heart and emotion I give her my love and devotion She gives thoughts and a notion I need her body, it needs me too I need somebody to love me blue Ive been doing it wrong for too long I said Ive been at it wrong for too long Ive been doing it wrong for too long In the clouds, where the angels sing Its her smile, yeah, its all I see In her eyes, where I wanna be She knows I need her loving She knows I need her touching She plays with my heart and emotion I give her my love and devotion She gave me her thought and a notion I need her body, she needs me too Too I need somebody to love Love me blue Love me blue Love me blue Love me blue",176
Zayn Borderz,"[Intro]
Border
Border
Border
Border, ayy
[Verse 1]
She is the life of the party (
Border
)
Don't stick that knife in my body (
Border, border, ayy
)
It's somethin' she always wanted (
Border
)
It's for a good cause, you're doin' a good job (
Border, border
)
[Pre-Chorus]
And we're off where the wind blows
I don't care where we go
Just like the ocean, you change what I see
They don't know what I know
How long I've had to hold
You're like a commotion, all because of me
[Chorus]
So take it off, let's break down all of our walls
Right now, I wanna see it all, oh-oh
I don't wanna cool off, so let's cross the lines we lost
Right now, I wanna see it all, oh-oh[Post-Chorus]
You were right on the border (
Border
)
Give me all of this, give me all of you (
Border, border
)
No fallin' in, don't need no proof (
Border, border, ayy
)
[Verse 2]
Beautiful insanity (
Border, border
)
You're like a movie, change the scene (
Border, border, ayy
)
Taste your sweet profanity (
Border, border
)
It's all for a good cause, think you're doin' a good job (
Border, border, ayy
)
[Pre-Chorus]
They don't know what I know
How long I've had to hold
You're like a commotion, all because of me
[Chorus]
So take it off, let's break down all of our walls
Right now, I wanna see it all, oh-oh
I don't wanna cool off, so let's cross the lines we lost
Right now, I wanna see it all, oh-oh
[Post-Chorus]
You were right on the border
Give me all of this, give me all of you
No fallin' in, don't need no proof
You were right on border[Bridge]
Give me all of this, give me all of you
No fallin' in, don't need no proof (
Border
)
Give me all of this, give me all of you (
Border, border
)
No fallin' in, don't need no proof (
Border
)
[Chorus]
So take it off, let's break down all of our walls
Right now, I wanna see it all, oh-oh
I don't wanna cool off, so let's cross the lines we lost
Right now, I wanna see it all, oh-oh
[Post-Chorus]
You were right on the border
Give me all of this, give me all of you (
Border, border
)
No fallin' in, don't need no proof (
Border
)
You were right on the border
Give me all of this, give me all of you (
Border, border
)
No fallin' in, don't need no proof (
Border
)
You were right on the border","Border Border Border Border, ayy She is the life of the party Border Dont stick that knife in my body Border, border, ayy Its somethin she always wanted Border Its for a good cause, youre doin a good job Border, border And were off where the wind blows I dont care where we go Just like the ocean, you change what I see They dont know what I know How long Ive had to hold Youre like a commotion, all because of me So take it off, lets break down all of our walls Right now, I wanna see it all, ohoh I dont wanna cool off, so lets cross the lines we lost Right now, I wanna see it all, ohoh You were right on the border Border Give me all of this, give me all of you Border, border No fallin in, dont need no proof Border, border, ayy Beautiful insanity Border, border Youre like a movie, change the scene Border, border, ayy Taste your sweet profanity Border, border Its all for a good cause, think youre doin a good job Border, border, ayy They dont know what I know How long Ive had to hold Youre like a commotion, all because of me So take it off, lets break down all of our walls Right now, I wanna see it all, ohoh I dont wanna cool off, so lets cross the lines we lost Right now, I wanna see it all, ohoh You were right on the border Give me all of this, give me all of you No fallin in, dont need no proof You were right on border Give me all of this, give me all of you No fallin in, dont need no proof Border Give me all of this, give me all of you Border, border No fallin in, dont need no proof Border So take it off, lets break down all of our walls Right now, I wanna see it all, ohoh I dont wanna cool off, so lets cross the lines we lost Right now, I wanna see it all, ohoh You were right on the border Give me all of this, give me all of you Border, border No fallin in, dont need no proof Border You were right on the border Give me all of this, give me all of you Border, border No fallin in, dont need no proof Border You were right on the border",408
Zayn Bright,"[Verse 1]
I found my life in between shots and getting high
The cage I was in fell away when she asked me to dance again, yeah
I found my life in between a first kiss and a last goodbye
The dust settled down, now I can see through the crowd
[Pre-Chorus]
I'm loving the colour white
Surrounding your colored eyes
Though she is the kryptonite
She stays in my crib tonight
I light her like dynamite
Load her like gigabyte
Turn out the fucking lights
I wanna see you bright
[Chorus]
I wanna see you bright
I wanna see you bright
I wanna see you bright
I wanna see you
[Verse 2]
For the love in my mind, love for the bass
She likes getting high, yeah, just for the day
She's different in night, she knows what I say
Free of the flash, dirt on your shoes, I don't know you[Pre-Chorus]
I'm loving the colour white
Surrounding your colored eyes
Though she is the kryptonite
She stays in my crib tonight
I light her like dynamite
Load her like gigabyte
Turn out the fucking lights
I wanna see you bright
[Chorus]
I wanna see you bright
I wanna see you bright
I wanna see you bright
I wanna see you bright
[Bridge]
I found my life in between shots and getting high
The cage I was in fell away when she asked me to dance again, yeah
[Chorus]
I wanna see you bright
I wanna see you bright
I wanna see you bright
I wanna see you bright
I wanna see you bright
I wanna see you bright
I wanna see you bright
I wanna see you","I found my life in between shots and getting high The cage I was in fell away when she asked me to dance again, yeah I found my life in between a first kiss and a last goodbye The dust settled down, now I can see through the crowd Im loving the colour white Surrounding your colored eyes Though she is the kryptonite She stays in my crib tonight I light her like dynamite Load her like gigabyte Turn out the fucking lights I wanna see you bright I wanna see you bright I wanna see you bright I wanna see you bright I wanna see you For the love in my mind, love for the bass She likes getting high, yeah, just for the day Shes different in night, she knows what I say Free of the flash, dirt on your shoes, I dont know you Im loving the colour white Surrounding your colored eyes Though she is the kryptonite She stays in my crib tonight I light her like dynamite Load her like gigabyte Turn out the fucking lights I wanna see you bright I wanna see you bright I wanna see you bright I wanna see you bright I wanna see you bright I found my life in between shots and getting high The cage I was in fell away when she asked me to dance again, yeah I wanna see you bright I wanna see you bright I wanna see you bright I wanna see you bright I wanna see you bright I wanna see you bright I wanna see you bright I wanna see you",270
Zayn Common,"[Verse 1]
Always lookin' out behind my fences
Always felt isolated, oh-oh-oh
I don't know why I was so defensive
I'll find a way to let you in
[Refrain]
I will die if I don't try, damned if I ask why
This is somethin' real, this is somethin' right
Never been in love, never felt it all until now
[Pre-Chorus]
As I lay here in your bed, I need you on my chest
To warm me all the time, to take away your breath
It's written on your lips, there ain't nothin' common 'bout us
In this ordinary world where nothin' is enough
Everything is gray, mistakin' love for lust
When I hold you in my arms, there ain't nothin' common 'bout us
[Chorus]
There ain't nothin' common 'bout us
There ain't nothin' common 'bout us
[Verse 2]
I see all your flaws and imperfections
But that's what makes me love you more, oh-oh-oh
We got such a spiritual connection
Don't you know you're fuckin' beautiful[Refrain]
I will die if I don't try, damned if I ask why
This is somethin' real, this is somethin' right
Never been in love, never felt it all until now
[Pre-Chorus]
As I lay here in your bed, I need you on my chest
To warm me all the time, to take away your breath
It's written on your lips, there ain't nothin' common 'bout us
In this ordinary world where nothin' is enough
Everything is gray, mistakin' love for lust
When I hold you in my arms, there ain't nothin' common 'bout us
[Chorus]
There ain't nothin' common 'bout us
There ain't nothin' common 'bout us
[Bridge]
I wanna feel your love
Just give me all your trust
Common ain't us
'Cause common ain't enough
[Pre-Chorus]
In this ordinary world where nothin' is enough
Everything is gray, mistakin' love for lust
When I hold you in my arms, there ain't nothin' common 'bout us[Chorus]
There ain't nothin' common 'bout us
There ain't nothin' common 'bout us
There ain't nothin' common 'bout us
There ain't nothin' common 'bout us","Always lookin out behind my fences Always felt isolated, ohohoh I dont know why I was so defensive Ill find a way to let you in I will die if I dont try, damned if I ask why This is somethin real, this is somethin right Never been in love, never felt it all until now As I lay here in your bed, I need you on my chest To warm me all the time, to take away your breath Its written on your lips, there aint nothin common bout us In this ordinary world where nothin is enough Everything is gray, mistakin love for lust When I hold you in my arms, there aint nothin common bout us There aint nothin common bout us There aint nothin common bout us I see all your flaws and imperfections But thats what makes me love you more, ohohoh We got such a spiritual connection Dont you know youre fuckin beautiful I will die if I dont try, damned if I ask why This is somethin real, this is somethin right Never been in love, never felt it all until now As I lay here in your bed, I need you on my chest To warm me all the time, to take away your breath Its written on your lips, there aint nothin common bout us In this ordinary world where nothin is enough Everything is gray, mistakin love for lust When I hold you in my arms, there aint nothin common bout us There aint nothin common bout us There aint nothin common bout us I wanna feel your love Just give me all your trust Common aint us Cause common aint enough In this ordinary world where nothin is enough Everything is gray, mistakin love for lust When I hold you in my arms, there aint nothin common bout us There aint nothin common bout us There aint nothin common bout us There aint nothin common bout us There aint nothin common bout us",334
Zayn Drunk,"[Intro]
We're so late nights, red eyes
Amnesia, on ice
Late nights, red eyes
Amnesia, I need ya
[Verse 1]
Right now, I can't see straight
Intoxicated, it's true, when I'm with you
I'm buzzin' and I feel laced
I'm coming from a different phase when I'm with you
[Pre-Chorus]
Another way now, like we're supposed to do (Ooh)
Take you to the back now, I'd take a shot for you (Ooh)
Wasted every night, gone for every song
Faded every night, dancin' all night long
[Chorus]
Drunk all summer (Yeah, yeah)
Drunk all summer (Yeah, yeah)
We've been drunk all summer (Yeah, yeah, yeah)
Drinkin' and flowin' and rollin', we're falling down
[Post-Chorus]
We're so late nights, red eyes
Amnesia, I need ya[Verse 2]
Right now, I'm emotional
I lose control when I'm with you
I hope I haven't said too much
Guess I always push my luck when I'm with you
[Pre-Chorus]
Another way now, like we're supposed to do (Ooh)
Take you to the back now, I'd take a shot for you (Ooh)
Wasted every night, gone for every song
Faded every night, dancin' all night long (Fakin' all night long)
[Chorus]
Drunk all summer (Yeah, yeah)
Drunk all summer (Yeah, yeah; No, love)
We've been drunk all summer (Yeah, yeah, yeah; Oh, woah)
Drinkin' and flowin' and rollin', we're falling down (Don't go)
[Post-Chorus]
We're so late nights, red eyes (Red eyes)
Amnesia, on ice
Late nights (Baby), red eyes
Amnesia, I need ya (I need you, baby)
[Outro]
Drunk, drunk, drunk, drunk
Drunk, drunk, drunk, drunk (
You put your drinks up
; Don't go)
Drunk, drunk, drunk, drunk
Drunk, drunk, drunk, drunk (Ah)
Drunk all summer
Drunk all summer
It's goin' around, yeah","Were so late nights, red eyes Amnesia, on ice Late nights, red eyes Amnesia, I need ya Right now, I cant see straight Intoxicated, its true, when Im with you Im buzzin and I feel laced Im coming from a different phase when Im with you Another way now, like were supposed to do Ooh Take you to the back now, Id take a shot for you Ooh Wasted every night, gone for every song Faded every night, dancin all night long Drunk all summer Yeah, yeah Drunk all summer Yeah, yeah Weve been drunk all summer Yeah, yeah, yeah Drinkin and flowin and rollin, were falling down Were so late nights, red eyes Amnesia, I need ya Right now, Im emotional I lose control when Im with you I hope I havent said too much Guess I always push my luck when Im with you Another way now, like were supposed to do Ooh Take you to the back now, Id take a shot for you Ooh Wasted every night, gone for every song Faded every night, dancin all night long Fakin all night long Drunk all summer Yeah, yeah Drunk all summer Yeah, yeah No, love Weve been drunk all summer Yeah, yeah, yeah Oh, woah Drinkin and flowin and rollin, were falling down Dont go Were so late nights, red eyes Red eyes Amnesia, on ice Late nights Baby, red eyes Amnesia, I need ya I need you, baby Drunk, drunk, drunk, drunk Drunk, drunk, drunk, drunk You put your drinks up Dont go Drunk, drunk, drunk, drunk Drunk, drunk, drunk, drunk Ah Drunk all summer Drunk all summer Its goin around, yeah",276
Zayn Dusk Till Dawn,"[Verse 1: ZAYN]
Not tryna be indie
Not tryna be cool
Just tryna be in this
Tell me, are you too?
Can you feel where the wind is?
Can you feel it through
All of the windows
Inside this room?
[Refrain: ZAYN]
'Cause I wanna touch you, baby
And I wanna feel you too
I wanna see the sun rise on your sins
Just me and you
[Pre-Chorus: ZAYN & Sia, 
Sia
]
Light it up, on the run
Let's make love tonight
Make it up, fall in love, try
(
Baby, I'm right here
)
[Chorus: ZAYN & Sia]
But you'll never be alone
I'll be with you from dusk till dawn
I'll be with you from dusk till dawn
Baby, I'm right here
I'll hold you when things go wrong
I'll be with you from dusk till dawn
I'll be with you from dusk till dawn
Baby, I'm right here[Post-Chorus: ZAYN & Sia]
I'll be with you from dusk till dawn
Baby, I'm right here
[Verse 2: ZAYN]
We were shut like a jacket
So do your zip
We would roll down the rapids
To find a wave that fits
Can you feel where the wind is?
Can you feel it through
All of the windows
Inside this room?
[Refrain: ZAYN & Sia]
'Cause I wanna touch you, baby
I wanna feel you too
I wanna see the sun rise on your sins
Just me and you
[Pre-Chorus: ZAYN & Sia, 
Sia
]
Light it up, on the run
Let's make love tonight
Make it up, fall in love, try
(
Baby, I'm right here
)[Chorus: ZAYN & Sia]
But you'll never be alone
I'll be with you from dusk till dawn
I'll be with you from dusk till dawn
Baby, I'm right here
I'll hold you when things go wrong
I'll be with you from dusk till dawn
I'll be with you from dusk till dawn
Baby, I'm right here
[Bridge: ZAYN & Sia, 
ZAYN
]
Girl, give love to your body
It's only you that can stop it
Girl, give love to your body
It's only you that can stop it
Girl, give love to your body
It's only you that can stop it
Girl, give love to your body
Girl, give love to your body
[Chorus: ZAYN & Sia]
But you'll never be alone
I'll be with you from dusk till dawn
I'll be with you from dusk till dawn
Baby, I'm right here
I'll hold you when things go wrong
I'll be with you from dusk till dawn
I'll be with you from dusk till dawn
Baby, I'm right here[Post-Chorus: ZAYN & Sia]
I'll be with you from dusk till dawn
Baby, I'm right here","Not tryna be indie Not tryna be cool Just tryna be in this Tell me, are you too? Can you feel where the wind is? Can you feel it through All of the windows Inside this room? Cause I wanna touch you, baby And I wanna feel you too I wanna see the sun rise on your sins Just me and you Light it up, on the run Lets make love tonight Make it up, fall in love, try Baby, Im right here But youll never be alone Ill be with you from dusk till dawn Ill be with you from dusk till dawn Baby, Im right here Ill hold you when things go wrong Ill be with you from dusk till dawn Ill be with you from dusk till dawn Baby, Im right here Ill be with you from dusk till dawn Baby, Im right here We were shut like a jacket So do your zip We would roll down the rapids To find a wave that fits Can you feel where the wind is? Can you feel it through All of the windows Inside this room? Cause I wanna touch you, baby I wanna feel you too I wanna see the sun rise on your sins Just me and you Light it up, on the run Lets make love tonight Make it up, fall in love, try Baby, Im right here But youll never be alone Ill be with you from dusk till dawn Ill be with you from dusk till dawn Baby, Im right here Ill hold you when things go wrong Ill be with you from dusk till dawn Ill be with you from dusk till dawn Baby, Im right here Girl, give love to your body Its only you that can stop it Girl, give love to your body Its only you that can stop it Girl, give love to your body Its only you that can stop it Girl, give love to your body Girl, give love to your body But youll never be alone Ill be with you from dusk till dawn Ill be with you from dusk till dawn Baby, Im right here Ill hold you when things go wrong Ill be with you from dusk till dawn Ill be with you from dusk till dawn Baby, Im right here Ill be with you from dusk till dawn Baby, Im right here",400
Zayn Entertainer,"[Verse 1]
You thought you had me, didn't you?
When you lied to my face, I could see the truth
Every step of the way I knew
How you fooled me, boo
[Pre-Chorus]
Guess you didn’t know that
You were my favorite entertainer
I'd watch you, I'd laugh, I would fuck with you
Don’t you take me for a fool
In this game, I own the rules
You were my favorite entertainer
I'd watch you, I'd laugh, I would fake it too
Don't you take me for a fool
I'ma show you a thing or two
[Chorus]
Never see me coming, I'll turn you down
When you need me the most, I will turn you
When you need me the most, I will turn you down
Never see me coming, I'll turn you down
When you need me the most, I will turn you
When you need me the most, I will turn you down
[Verse 2]
Thought that you were smarter, I'm ashamed for you
I knew it right away when you stopped lovin’ me
It happened when your touch wasn’t enough for me[Pre-Chorus]
Thought that you should know that
You were my favorite entertainer
I'd watch you, I’d laugh, I would fuck with you
Don't you play me for a fool
In this game, I own the rules
You were my favorite entertainer
I'd watch you, I'd laugh, I would fake it too
Don’t you play me for a fool
I'ma show you a thing or two
[Chorus]
Never see me coming, I'll turn you down
When you need me the most, I will turn you
When you need me the most, I will turn you down
Never see me coming, I'll turn you down
When you need me the most, I will turn you
When you need me the most, I will turn you down
[Bridge]
Know it's harder to take, and let's face it
No one's playing your games, but let's face it
I'm being straight up
I know fake love when I see it anyway
I'ma turn you down when you need me anyway, anyway, anyway[Chorus]
Never see me coming, I'll turn you down
When you need me the most, I will turn you
When you need me the most, I will turn you down
Never see me coming, I'll turn you down
When you need me the most, I will turn you
When you need me the most, I will turn you down
[Outro]
I know you need me the most
The most, the most (One more time)","You thought you had me, didnt you? When you lied to my face, I could see the truth Every step of the way I knew How you fooled me, boo Guess you didnt know that You were my favorite entertainer Id watch you, Id laugh, I would fuck with you Dont you take me for a fool In this game, I own the rules You were my favorite entertainer Id watch you, Id laugh, I would fake it too Dont you take me for a fool Ima show you a thing or two Never see me coming, Ill turn you down When you need me the most, I will turn you When you need me the most, I will turn you down Never see me coming, Ill turn you down When you need me the most, I will turn you When you need me the most, I will turn you down Thought that you were smarter, Im ashamed for you I knew it right away when you stopped lovin me It happened when your touch wasnt enough for me Thought that you should know that You were my favorite entertainer Id watch you, Id laugh, I would fuck with you Dont you play me for a fool In this game, I own the rules You were my favorite entertainer Id watch you, Id laugh, I would fake it too Dont you play me for a fool Ima show you a thing or two Never see me coming, Ill turn you down When you need me the most, I will turn you When you need me the most, I will turn you down Never see me coming, Ill turn you down When you need me the most, I will turn you When you need me the most, I will turn you down Know its harder to take, and lets face it No ones playing your games, but lets face it Im being straight up I know fake love when I see it anyway Ima turn you down when you need me anyway, anyway, anyway Never see me coming, Ill turn you down When you need me the most, I will turn you When you need me the most, I will turn you down Never see me coming, Ill turn you down When you need me the most, I will turn you When you need me the most, I will turn you down I know you need me the most The most, the most One more time",415
